id,fase,sortorder,gammel_tittel,gammel_tittel_en,ny_tittel,ny_tittel_en,handling,v6_kilde,begrunnelse
OP-025,Konsept,250,Utarbeide endelig prosjektforslag til vedtak i Beslutningspunkt 2 (BP2),Develop final project proposal for decision at Decision Point 2 (DP2),Ferdigstille prosjektforslag med anbefalt konsept til vedtak i Beslutningspunkt 2 (BP2),Complete the project brief with the recommended concept for decision at Decision Point 2 (DP2),omformuler,prosjektfasene/vurdere-virkninger-og-anbefale-konsept/16 + prosjektfasene/forelopig-styringsdokumentasjon/18,"Anbefalingen av konsept er prosjektforslagets kjerne i v6."
OP-026,Konsept,260,Ferdigstille faseplan for Planleggingsfasen til vedtak i Beslutningspunkt 2 (BP2),Complete phase plan for the Planning Phase for decision at Decision Point 2 (DP2),,,behold,prosjektfasene/bp2-beslutte-oppstart-av-planleggingsfasen/25 + prosjektfasene/gjennomga-faseplanen-planleggingsfasen/27,"v6 forutsetter at faseplanen for planleggingsfasen utarbeides i konseptfasen."
OP-027,Konsept,270,Gjennomføre BP2 (sjekkliste og ev. faseovergang) og vurdere om man skal gå videre til planleggingsfasen og planlegge prosjektet i detalj,Conduct DP2 (checklist and possible phase transition) and assess whether to proceed to the planning phase and plan the project in detail,Gjennomføre BP2 (sjekkliste og ev. faseovergang) og beslutte om planleggingsfasen skal startes,Conduct DP2 (checklist and possible phase transition) and decide whether the planning phase should be started,omformuler,prosjektfasene/bp2-beslutte-oppstart-av-planleggingsfasen/25,"v6: BP2 er også en beslutning om egnet gjennomføringsform, ikke bare detaljplanlegging."
OP-101,Konsept,100,,,"Planlegge konseptarbeidet: avklare hva fasen skal levere, hvem som skal involveres og hvilke spørsmål som skal besvares","Plan the concept work: clarify what the phase will deliver, who will be involved and which questions must be answered",ny,prosjektfasene/planlegge-konseptarbeidet-og-avklare-problem-mal-og-mulige-konsepter/15,"Første v6-aktivitet i konseptfasen — mangler motsvar i dag."
OP-102,Konsept,200,,,"Identifisere mulige konsepter som er reelt forskjellige, inkludert nullalternativet","Identify possible concepts that are genuinely different, including the zero option",ny,prosjektfasene/planlegge-konseptarbeidet-og-avklare-problem-mal-og-mulige-konsepter/15,"Kjernekrav i v6-konseptarbeidet."
OP-103,Konsept,300,,,"Teste antakelser med brukerintervjuer, prototyper, konseptbevis eller MVP ved behov","Test assumptions with user interviews, prototypes, proof of concept or an MVP when needed",ny,prosjektfasene/planlegge-konseptarbeidet-og-avklare-problem-mal-og-mulige-konsepter/15 + prosjektfasene/til-hjelp-i-konseptarbeidet/17,"Smidig utforsking i konseptfasen — nytt i v6 (område I)."
OP-104,Konsept,400,,,"Vurdere prinsipielle spørsmål: personvern, informasjonssikkerhet, rettssikkerhet og etikk","Consider questions of principle: privacy, information security, legal protection and ethics",ny,prosjektfasene/planlegge-konseptarbeidet-og-avklare-problem-mal-og-mulige-konsepter/15 + prosjektfasene/til-hjelp-i-konseptarbeidet/17,"Eksplisitt v6-krav i konseptfasen."
OP-105,Konsept,500,,,Avklare ansvar for nyttevirkninger og involvere nytteeier,Clarify responsibility for benefits and involve the benefit owner,ny,prosjektfasene/til-hjelp-i-konseptarbeidet/17 + godt-vite/roller/80,"v6: nytteeier bør involveres allerede i konseptfasen (TERM-003/004, M1)."
OP-106,Konsept,600,,,"Anbefale gjennomføringsform: prosjekt, produktorganisering eller annen tilnærming, og eventuelt smidig gjennomføring","Recommend the delivery approach: project, product organization or another approach, and agile delivery where appropriate",ny,prosjektfasene/vurdere-virkninger-og-anbefale-konsept/16,"Nytt i v6: anbefalingen skal omfatte gjennomføringsform (område I)."
OP-028,Planlegge,280,Vurdere å etablere nødvendige strategier for gjennomføring av prosjektet (Dette vil variere mellom ulike prosjekttyper. Se eksempler under aktiviteter i Planleggingsfasen på Prosjektveiviseren.no),Consider establishing necessary strategies for project implementation (This will vary between different project types. See examples under activities in the Planning Phase on Prosjektveiviseren.no),"Utarbeide nødvendige gjennomføringsstrategier (for eksempel anskaffelses-, kvalitets-, risiko- og bærekraftstrategi)","Prepare the necessary implementation strategies (for example procurement, quality, risk and sustainability strategy)",omformuler,prosjektfasene/planlegge-prosjektgjennomforingen/34 + godt-vite/begreper/81,"v6 innfører bærekraftstrategi og risikostrategi som egne strategier (område G); henvisningen til nettstedet fjernes fra oppgaveteksten."
OP-029,Planlegge,290,Ferdigstille den detaljerte prosjektbegrunnelsen som i sum skal sikre at prosjektet fortsatt er ønskelig og i tråd med virksomhetens strategiske mål?,Complete the detailed project justification that in total shall ensure that the project is still desirable and in line with the organization's strategic goals,Oppdatere prosjektbegrunnelsen (eller prosjektkanvas for mindre prosjekter),Update the business case (or the project canvas for smaller projects),omformuler,prosjektfasene/ferdigstille-styringsdokumentasjon/39,"v6 åpner for forenklet styringsdokument/prosjektkanvas for små prosjekter."
OP-030,Planlegge,300,Gjennomføre en interessentanalyse,Conduct a stakeholder analysis,Oppdatere interessentanalysen,Update the stakeholder analysis,omformuler,prosjektfasene/hva-er-planleggingsfasen/26,"Første versjon lages i konseptfasen i v6; planleggingsfasen oppdaterer."
OP-031,Planlegge,310,Opprette en kommunikasjonsplan,Create a communication plan,Utarbeide kommunikasjonsstrategi og plan for brukerinvolvering,Prepare a communication strategy and a plan for user involvement,omformuler,prosjektfasene/planlegge-prosjektgjennomforingen/34 + godt-vite/begreper/81,"v6-begrepet er kommunikasjonsstrategi; brukerinvolvering er eget plankrav (område H)."
OP-032,Planlegge,320,"Etablere en endelig prosjektorganisasjon med roller og ansvar, og tilstrekkelige ressurser til å gjennomføre prosjektet","Establish a final project organization with roles and responsibilities, and sufficient resources to implement the project","Etablere prosjektorganisasjonen med roller, ansvar, myndighet og beslutningslinjer","Establish the project organization with roles, responsibilities, authority and decision lines",omformuler,prosjektfasene/etablere-prosjektorganisasjonen/33,"Egen v6-aktivitet. Tar opp i seg OP-013 (prosjektstyre), OP-015 (prosjektleder) og OP-017 (nøkkelressurser) fra konseptfasen."
OP-033,Planlegge,330,Gjennomføre usikkerhetsanalyse og vurdere om usikkerheten er akseptabel,Conduct uncertainty analysis and assess whether the uncertainty is acceptable,"Vurdere usikkerhet, avhengigheter og tiltak, og fastsette toleranser for risiko","Assess uncertainty, dependencies and measures, and set tolerances for risk",omformuler,prosjektfasene/planlegge-prosjektgjennomforingen/34 + prosjektfasene/definere-akseptansekriterier-styringsparametere/36,"v6 knytter usikkerhet til styringsparameteren risiko med toleranser."
OP-034,Planlegge,340,Identifisere kritiske suksessfaktorer og leveranser i prosjektet,Identify critical success factors and deliverables in the project,Beskrive prosjektets produkter med produktbeskrivelser,Describe the project's products with product descriptions,omformuler,prosjektfasene/gjennomga-faseplanen-planleggingsfasen/27,"«Kritiske suksessfaktorer» er utgått i v6; produktbeskrivelser med akseptansekriterier er v6s mekanisme."
OP-035,Planlegge,350,Utarbeide en gevinstrealiseringsplan som inkluderer en vurdering av linjeorganisasjonens kapasitet til å realisere gevinstene,Develop a benefits realization plan that includes an assessment of the line organization's capacity to realize the benefits,"Utarbeide plan for nyttestyring med nyttevirkningsberegninger, i samarbeid med nytteeier og linjeorganisasjonen","Prepare the benefit management plan with benefit calculations, in cooperation with the benefit owner and the line organization",omformuler,prosjektfasene/ferdigstille-styringsdokumentasjon/39 + prosjektfasene/hva-er-planleggingsfasen/26,"Gevinstrealiseringsplan → plan for nyttestyring (TERM-002); nyttevirkningsberegninger følger malen «nytteberegninger (gevinstberegninger)»."
OP-036,Planlegge,360,Utarbeide en helhetlig og konsistent gjennomføringsplan som bryter prosjektet ned i håndterbare faser med milepæler,Develop a comprehensive and consistent implementation plan that breaks the project down into manageable phases with milestones,"Planlegge prosjektgjennomføringen: delfaser eller iterasjoner, milepæler, ressurser, leveranser og styringsparametere med toleranser","Plan the project execution: sub-phases or iterations, milestones, resources, deliveries and performance targets with tolerances",omformuler,prosjektfasene/planlegge-prosjektgjennomforingen/34,"v6 åpner for kombinasjon av sekvensielle og iterative leveranser (område I)."
OP-037,Planlegge,370,Utarbeide/samle nødvendig styringsdokumentasjon til vedtak i Beslutningspunkt 3 (BP3),Develop/collect necessary steering documentation for decision at Decision Point 3 (DP3),Ferdigstille styringsdokument og samlet styringsdokumentasjon til vedtak i Beslutningspunkt 3 (BP3),Complete the project initiation document and the overall governance documentation for decision at Decision Point 3 (DP3),omformuler,prosjektfasene/ferdigstille-styringsdokumentasjon/39,"v6 skiller styringsdokumentet (kontrakten prosjekteier–prosjektleder) fra samlet styringsdokumentasjon."
OP-038,Planlegge,380,Ferdigstille faseplan for første gjennomføringsfase til vedtak i BP3,Complete phase plan for first implementation phase for decision at DP3,,,behold,prosjektfasene/gjennomga-faseplanen-gjennomforing/43,"v6 forutsetter at faseplanen for gjennomføring utarbeides i planleggingsfasen."
OP-039,Planlegge,390,Gjennomføre BP3 (sjekkliste og ev. faseovergang) og vurdere om man skal gå videre til gjennomføringsfasen(e),Conduct DP3 (checklist and possible phase transition) and assess whether to proceed to the implementation phase(s),Gjennomføre BP3 (sjekkliste og ev. faseovergang) og beslutte overgang til gjennomføringsfasen,Conduct DP3 (checklist and possible phase transition) and decide on the transition to the execution phase,omformuler,prosjektfasene/bp3-beslutte-overgang-til-gjennomforingsfasen/41,"v6-tittelen på BP3."
OP-107,Planlegge,100,,,Gjennomgå faseplanen for planleggingsfasen og ta med kunnskap og analyser fra konseptfasen,Review the phase plan for the planning phase and carry forward knowledge and analyses from the concept phase,ny,prosjektfasene/gjennomga-faseplanen-planleggingsfasen/27,"Egen v6-aktivitet for god faseovergang."
OP-108,Planlegge,200,,,Beskrive behovet for endringer i virksomhetens arbeidsprosesser og organisering,Describe the need for changes in the organization's work processes and structure,ny,prosjektfasene/beskrive-behovet-endringer-i-virksomhetens-arbeidsprosesser-og-organisering/28,"Egen v6-aktivitet; *behovet* beskrives, ikke de endrede prosessene (område H)."
OP-109,Planlegge,300,,,"Beskrive tekniske rammer for prosjektet, inkludert informasjonssikkerhet, personvern og eventuell DPIA","Describe the technical constraints for the project, including information security, privacy and any DPIA",ny,prosjektfasene/beskrive-tekniske-rammer-prosjektet/32,"Egen v6-aktivitet med eksplisitt DPIA-vurdering."
OP-110,Planlegge,400,,,"Definere akseptansekriterier med toleranser for de sju styringsparameterne, og vurdere det smidige handlingsrommet","Define acceptance criteria with tolerances for the seven performance targets, and assess the agile leeway",ny,prosjektfasene/definere-akseptansekriterier-styringsparametere/36,"Ny v6-aktivitet — knytter styringsparameterne (inkl. omfang og bærekraft, område G) til smidig handlingsrom (område I)."
OP-111,Planlegge,500,,,"Etablere tverrfaglige team, produkteier og initiell produktkø ved smidig arbeidsform","Establish cross-functional teams, a product owner and an initial product backlog when working agile",ny,prosjektfasene/hva-er-planleggingsfasen/26 + prosjektfasene/etablere-prosjektorganisasjonen/33,"v6: smidige prosjekter etablerer team, roller og produktkø i planleggingsfasen (område I)."
OP-112,Planlegge,600,,,Avklare hvordan nytteansvar og endringsarbeid skal følges opp gjennom prosjektet,Clarify how benefit responsibility and change work will be followed up throughout the project,ny,prosjektfasene/etablere-prosjektorganisasjonen/33,"Eksplisitt organiseringskrav i v6 (område H; TERM-003/004)."
OP-040,Gjennomføre,400,Følge opp at prosjektets leveranser er i overensstemmelse med definerte resultatmål for prosjektet,Follow up that the project's deliverables are in accordance with defined result goals for the project,"Styre prosjektet: følge opp fremdrift, kostnad, kvalitet og omfang mot akseptansekriteriene","Manage the project: follow up progress, cost, quality and scope against the acceptance criteria",omformuler,prosjektfasene/styre-prosjektet/44,"v6 styrer på akseptansekriterier for styringsparameterne (område G)."
OP-041,Gjennomføre,410,Sørge for at leveranser er skikkelig dokumentert og levert i henhold til plan,Ensure that deliverables are properly documented and delivered according to plan,"Utvikle fasens produkter i henhold til faseplan og prioriteringer, med testing og kvalitetssikring underveis","Develop the phase's products according to the phase plan and priorities, with testing and quality assurance along the way",omformuler,prosjektfasene/utvikle-fasens-produkter/46,"v6-aktiviteten «Utvikle fasens produkter»."
OP-042,Gjennomføre,420,"Når det nærmer seg avslutningsfasen, vurdere om det er noe utestående arbeid som prosjektet skal ha ansvar for å avslutte","When approaching the closing phase, assess whether there is any outstanding work that the project should be responsible for closing",Avklare gjenstående eller uferdig arbeid før overgang til avslutningsfasen,Clarify remaining or unfinished work before the transition to the closing phase,omformuler,prosjektfasene/overlevere-produkter-til-linjen/49 + prosjektfasene/bp4-beslutte-overgang-til-avslutningsfasen/53,"v6-terminologien «gjenstående/uferdig arbeid»."
OP-043,Gjennomføre,430,"Sørge for at nødvendig opplæring, brukerdokumentasjon, driftsrutiner osv er utarbeidet og gjennomført","Ensure that necessary training, user documentation, operational procedures etc. are developed and implemented","Forberede overlevering: opplæring, brukerdokumentasjon og driftsrutiner","Prepare the handover: training, user documentation and operational routines",omformuler,prosjektfasene/overlevere-produkter-til-linjen/49,"Inngår i v6s overleveringskrav."
OP-044,Gjennomføre,440,"Sørge for god dialog med linjeorganisasjonen underveis, slik at den er klar til å ta i bruk leveransene fra prosjektet","Ensure good dialogue with the line organization along the way, so that it is ready to use the deliverables from the project",Involvere linjeorganisasjonen løpende slik at den er klar til å ta produktene i bruk,Involve the line organization continuously so that it is ready to start using the products,omformuler,prosjektfasene/overlevere-produkter-til-linjen/49 + prosjektfasene/styre-prosjektet/44,"v6: overlevering forberedes tidlig, ikke først når produktet er ferdig."
OP-045,Gjennomføre,450,"Forankre og tydeliggjøre hvem som skal følge opp og rapportere effekter (i henhold til gevinstrealiseringsplan), når dette skal rapporteres på etter prosjektslutt og til hvem","Anchor and clarify who should follow up and report effects (according to benefits realization plan), when this should be reported after project completion and to whom","Avklare hvem som skal følge opp og rapportere nyttevirkninger etter prosjektslutt, og hvordan","Clarify who will follow up and report benefits after the project ends, and how",omformuler,prosjektfasene/oppdatere-prosjektbegrunnelse-og-plan-nyttestyring/50 + prosjektfasene/overlevere-produkter-til-linjen/49,"Effekter → nyttevirkninger; plan for nyttestyring (TERM-001/002)."
OP-046,Gjennomføre,460,"Avklare hvem som har ansvar for videre forvaltning og drift av prosjektresultatet, og inngå nødvendige avtaler","Clarify who has responsibility for further management and operation of the project result, and enter into necessary agreements","Avklare ansvar for drift, forvaltning og videreutvikling, og inngå nødvendige avtaler","Clarify responsibility for operations, management and further development, and enter into the necessary agreements",omformuler,prosjektfasene/overlevere-produkter-til-linjen/49,"v6 føyer til videreutvikling (produktteam)."
OP-047,Gjennomføre,470,Levere ferdige prosjektleveranser til linjen,Deliver completed project deliverables to the line organization,Overlevere produkter til linjen med dokumentasjon og avklart ansvar,Hand over products to the line organization with documentation and clarified responsibility,omformuler,prosjektfasene/overlevere-produkter-til-linjen/49,"v6-aktiviteten «Overlevere produkter til linjen»; ved smidig arbeidsform skjer dette gjerne hyppig underveis."
OP-048,Gjennomføre,480,"Oppdatere styringsdokumentasjon (prosjektbegrunnelse, erfaringslogg og gevinstrealiseringsplan) til vedtak i Beslutningspunkt 4 (BP4)","Update steering documentation (project justification, experience log and benefits realization plan) for decision at Decision Point 4 (DP4)",Oppdatere prosjektbegrunnelse og plan for nyttestyring til vedtak i Beslutningspunkt 4 (BP4),Update the business case and the benefit management plan for decision at Decision Point 4 (DP4),omformuler,prosjektfasene/oppdatere-prosjektbegrunnelse-og-plan-nyttestyring/50,"Egen v6-aktivitet; gevinstrealiseringsplan → plan for nyttestyring (TERM-002)."
OP-049,Gjennomføre,490,Ferdigstille faseplan for avslutningsfasen til vedtak i BP4,Complete phase plan for the closing phase for decision at DP4,,,behold,prosjektfasene/gjennomga-faseplanen-avslutningsfasen/55 + prosjektfasene/bp4-beslutte-overgang-til-avslutningsfasen/53,"v6 forutsetter at faseplanen for avslutningsfasen utarbeides i gjennomføringsfasen."
OP-050,Gjennomføre,500,Gjennomføre BP4 (sjekkliste og ev. faseovergang) og vurdere om man skal gå videre til avslutningsfasen,Conduct DP4 (checklist and possible phase transition) and assess whether to proceed to the closing phase,Gjennomføre BP4 (sjekkliste og ev. faseovergang) og beslutte overgang til avslutningsfasen,Conduct DP4 (checklist and possible phase transition) and decide on the transition to the closing phase,omformuler,prosjektfasene/bp4-beslutte-overgang-til-avslutningsfasen/53,"v6-tittelen på BP4."
OP-113,Gjennomføre,100,,,Gjennomgå faseplanen for gjennomføring ved oppstart av fasen eller delfasen,Review the phase plan for execution at the start of the phase or sub-phase,ny,prosjektfasene/gjennomga-faseplanen-gjennomforing/43,"Egen v6-aktivitet for god faseovergang."
OP-114,Gjennomføre,200,,,"Gjennomføre anskaffelser og inngå kontrakter, inkludert databehandleravtale ved behov","Carry out procurements and enter into contracts, including a data processing agreement where needed",ny,prosjektfasene/gjennomfore-anskaffelser-og-innga-kontrakter/47,"Egen v6-aktivitet — mangler motsvar i dagens oppgaveliste."
OP-115,Gjennomføre,300,,,Håndtere endringsønsker systematisk og eskalere avvik utover avtalte toleranser,Handle change requests systematically and escalate deviations beyond the agreed tolerances,ny,prosjektfasene/styre-prosjektet/44,"v6: endringsønsker vurderes systematisk mot styringsparameterne."
OP-116,Gjennomføre,400,,,Følge opp endrings- og kommunikasjonsarbeidet slik at organisasjonen er klar for endringen,Follow up the change and communication work so that the organization is ready for the change,ny,prosjektfasene/styre-prosjektet/44,"Eksplisitt v6-krav i prosjektstyringen (område H)."
OP-117,Gjennomføre,500,,,Prioritere produktkøen og gjennomføre iterasjoner med brukerinvolvering ved smidig arbeidsform,Prioritize the product backlog and run iterations with user involvement when working agile,ny,prosjektfasene/gjennomga-faseplanen-gjennomforing/43 + prosjektfasene/utvikle-fasens-produkter/46,"v6s smidige gjennomføring (område I)."
