sortorder,fase,fase_en,tittel,tittel_en
2800,Planlegge,Initiating,Er faseplanen fra konseptfasen gjennomgått og oppdatert ved oppstart av fasen?,Has the phase plan from the concept phase been reviewed and updated at the start of the phase?
2900,Planlegge,Initiating,"Er prosjekteier, prosjektleder og nytteeier oppnevnt med avklart ansvar?","Have the project owner, project manager and benefit owner been appointed with clarified responsibilities?"
3000,Planlegge,Initiating,"Er behovet for endringer i arbeidsprosesser og organisering beskrevet, med plan for endringsledelse?","Has the need for changes in work processes and organization been described, with a plan for change management?"
3100,Planlegge,Initiating,"Er tekniske rammer, informasjonssikkerhet og personvern avklart, inkludert behov for DPIA?","Have technical constraints, information security and privacy been clarified, including the need for a DPIA?"
3200,Planlegge,Initiating,"Er gjennomføringsformen egnet (sekvensiell, smidig eller kombinasjon), og er det smidige handlingsrommet vurdert?","Is the delivery approach suitable (sequential, agile or a combination), and has the agile leeway been assessed?"
3300,Planlegge,Initiating,Er styringsdokumentasjonen komplett og konsistent til BP3?,Is the governance documentation complete and consistent for DP3?
3400,Gjennomføre,Directing,Er prosjektets leveranser i overensstemmelse med definerte resultatmål?,Are the project's deliverables in accordance with defined result objectives?
3500,Gjennomføre,Directing,Er leveranser dokumentert og levert i henhold til plan?,Are deliverables documented and delivered according to plan?
3600,Gjennomføre,Directing,"Er gjenstående eller uferdig arbeid avklart, og er det bestemt hvem som skal lukke det?","Has remaining or unfinished work been clarified, and has it been decided who will close it?"
3700,Gjennomføre,Directing,"Er prosjektbegrunnelsen og plan for nyttestyring oppdatert, og er forventede nyttevirkninger fortsatt realistiske?","Have the business case and the benefit management plan been updated, and are the expected benefits still realistic?"
3800,Gjennomføre,Directing,"Er linjeorganisasjonen klar til å ta produktene i bruk, med nødvendig opplæring, dokumentasjon og driftsrutiner?","Is the line organization ready to start using the products, with the necessary training, documentation and operational routines?"
3900,Gjennomføre,Directing,"Er det avklart hvem som skal følge opp og rapportere nyttevirkninger etter prosjektet, og til hvem?","Has it been clarified who will follow up and report benefits after the project, and to whom?"
4000,Gjennomføre,Directing,"Er ansvar for drift, forvaltning og videreutvikling avklart, og nødvendige avtaler inngått?","Have responsibilities for operations, management and further development been clarified, and the necessary agreements entered into?"
4100,Gjennomføre,Directing,Er faseplanen for gjennomføring gjennomgått ved oppstart av fasen eller delfasen?,Has the phase plan for execution been reviewed at the start of the phase or sub-phase?
4200,Gjennomføre,Directing,Er avvik mot akseptansekriteriene for styringsparameterne håndtert og eskalert ved behov?,Have deviations from the acceptance criteria for the performance targets been handled and escalated when needed?
4300,Gjennomføre,Directing,"Er endrings- og kommunikasjonsarbeidet fulgt opp, slik at brukere og ledere er klare for endringen?","Has the change and communication work been followed up, so that users and managers are ready for the change?"
4400,Gjennomføre,Directing,"Er risikoer knyttet til informasjonssikkerhet og personvern håndtert, og nødvendig testing gjennomført?","Have risks related to information security and privacy been handled, and the necessary testing carried out?"
4500,Gjennomføre,Directing,Er faseplan for avslutningsfasen utarbeidet til BP4?,Has the phase plan for the closing phase been prepared for DP4?
4600,Avslutte,Closing,"Er gjenstående arbeid lukket eller dokumentert, akseptert og overført til linjen?","Has remaining work been closed or documented, accepted and transferred to the line organization?"
4700,Avslutte,Closing,"Er prosjektets resultater dokumentert i sluttrapporten, sammenlignet med mål og akseptansekriterier?","Are the project's results documented in the final report, compared with objectives and acceptance criteria?"
4800,Avslutte,Closing,"Er positive og negative erfaringer dokumentert, arkivert og tilgjengelige for senere prosjekter?","Have positive and negative experiences been documented, archived and made available for later projects?"
4900,Avslutte,Closing,Er prosjektdokumentene forsvarlig arkivert?,Are the project documents properly archived?
5000,Avslutte,Closing,Er alle kontrakter og prosjektøkonomien formelt avsluttet eller overført til linjen?,Have all contracts and the project finances been formally closed or transferred to the line organization?
5100,Avslutte,Closing,Er plan for nyttestyring oppdatert og klargjort for videre oppfølging i linjen?,Has the benefit management plan been updated and prepared for further follow-up in the line organization?
5200,Avslutte,Closing,"Er erfaringsloggen oppdatert, avsluttet og arkivert?","Has the lessons log been updated, closed and archived?"
5300,Avslutte,Closing,Er faseplanen for avslutningsfasen gjennomgått ved oppstart av fasen?,Has the phase plan for the closing phase been reviewed at the start of the phase?
5400,Avslutte,Closing,"Har linjeorganisasjonen overtatt nødvendig ansvar for produkter, innføring og videre oppfølging?","Has the line organization taken over the necessary responsibility for products, adoption and further follow-up?"
5500,Avslutte,Closing,"Er produktteam eller forvaltningsmiljø etablert ved behov, med nødvendig grunnlag for videre arbeid?","Has a product team or maintenance organization been established where needed, with the necessary basis for further work?"
5600,Avslutte,Closing,"Er kunnskap om informasjonssikkerhet og personvern overført til linjen, og sikkerhetstiltak verifisert?","Has knowledge about information security and privacy been transferred to the line organization, and security measures verified?"
5700,Avslutte,Closing,Er virksomhetsledelsen orientert om måloppnåelse og læring?,Has executive management been informed about goal achievement and lessons learned?
5800,Realisere,Benefits realization,Er planlagte målinger og tiltak gjennomført?,Have planned measurements and initiatives been implemented?
5900,Realisere,Benefits realization,"Er forventede nyttevirkninger oppnådd, eller trengs nye eller forsterkede tiltak?","Have the expected benefits been achieved, or are new or strengthened measures needed?"
6000,Realisere,Benefits realization,"Er evaluering av konseptvalget gjennomført, med anbefalinger for senere konseptvalg?","Has the evaluation of the concept choice been carried out, with recommendations for later concept choices?"
6100,Realisere,Benefits realization,Fungerer endringsprosessen i organisasjonen?,Is the change process in the organization working?
6200,Realisere,Benefits realization,Har produktteam eller linjeorganisasjon rammer og prioriteringer som sikrer videre nyttevirkning?,Does the product team or line organization have the framework and priorities to ensure continued benefits?
6300,Realisere,Benefits realization,"Er plan for nyttestyring oppdatert, og er eventuelle nye BP6-gjennomganger planlagt?","Has the benefit management plan been updated, and have any further DP6 reviews been planned?"
