id,fase,sortorder,gammel_tittel,gammel_tittel_en,ny_tittel,ny_tittel_en,handling,v6_kilde,begrunnelse
SJ-024,Planlegge,240,Er usikkerhetsanalyse blitt uført og er usikkerheten akseptabel?,Has uncertainty analysis been performed and is the uncertainty acceptable?,,,,,
SJ-025,Planlegge,250,Er kritiske suksessfaktorer identifisert?,Are critical success factors identified?,,,,,
SJ-026,Planlegge,260,Har gevinstansvarlig vært aktivt involvert i utarbeidelsen av gevinstrealiseringplanen?,Has the benefits manager been actively involved in developing the benefits realization plan?,,,,,
SJ-027,Planlegge,270,Er linjeorganisasjonens kapasitet til å realisere gevinstene blitt vurdert?,Has the line organization's capacity to realize the benefits been assessed?,,,,,
SJ-028,Gjennomføre,280,Er prosjektets leveranser i overensstemmelse med definerte resultatmål?,Are the project's deliverables in accordance with defined result objectives?,,,,,
SJ-029,Gjennomføre,290,Er leveranser dokumentert og levert i henhold til plan?,Are deliverables documented and delivered according to plan?,,,,,
SJ-030,Gjennomføre,300,Er det noe utestående arbeid som prosjektet skal ha ansvar for å avslutte?,Is there any outstanding work that the project should be responsible for completing?,,,,,
SJ-031,Gjennomføre,310,"Oppfatter gevinstansvarlig at de ønskede gevinstene fortsatt er realistiske, og er gevinstrealiseringsplanen gjennomgått og eventuelt oppdatert underveis i gjennomføringsfasen(e)?","Does the benefits manager perceive that the desired benefits are still realistic, and has the benefits realization plan been reviewed and possibly updated during the implementation phase(s)?",,,,,
SJ-032,Gjennomføre,320,"Er linjeorganisasjonen klar til å ta i bruk leveransene fra prosjektet og er nødvendig opplæring, brukerdokumentasjon, driftsrutiner osv utarbeidet og gjennomført?","Is the line organization ready to use the deliverables from the project and has necessary training, user documentation, operational procedures etc. been developed and implemented?",,,,,
SJ-033,Gjennomføre,330,"Er det klart hvem som skal følge opp og rapportere effekter (i henhold til gevinstrealiseringsplan), og til hvem?","Is it clear who should follow up and report effects (according to benefits realization plan), and to whom?",,,,,
SJ-034,Gjennomføre,340,"Er det klart hvem som har ansvar for forvaltning og drift, og er nødvendige avtaler inngått?","Is it clear who is responsible for management and operations, and have the necessary agreements been entered into?",,,,,
SJ-035,Avslutte,350,Er utestående arbeid tilfredsstillende lukket og eventuelt akseptert overført til linjen?,Is outstanding work satisfactorily closed and possibly accepted and transferred to the line organization?,,,,,
SJ-036,Avslutte,360,"Er prosjektets hovedresultat (produkt, kost, tid, kvalitet, ressursbruk) dokumentert?","Is the project's main result (product, cost, time, quality, resource usage) documented?",,,,,
SJ-037,Avslutte,370,Er positive og negative erfaringer dokumentert for erfaringsoverføring?,Are positive and negative experiences documented for knowledge transfer?,,,,,
SJ-038,Avslutte,380,Er prosjektdokumentene forsvarlig arkivert?,Are the project documents properly archived?,,,,,
SJ-039,Avslutte,390,Er alle prosjektkontrakter avsluttet?,Are all project contracts closed?,,,,,
SJ-040,Avslutte,400,Er alle relevante interessenter blitt informert om avslutning av prosjektet?,Have all relevant stakeholders been informed about the closure of the project?,,,,,
SJ-041,Avslutte,410,Er gevinstrealiseringsplanen oppdatert?,Er gevinstrealiseringsplanen oppdatert?,,,,,
SJ-042,Avslutte,420,"Er Erfaringslogg oppdatert,avsluttet og lagret?","Is the Lessons Learned log updated, closed, and saved?",,,,,
SJ-043,Realisere,430,Er planlagte målinger og tiltak gjennomført?,Have planned measurements and initiatives been implemented?,,,,,
SJ-044,Realisere,440,Er forventede gevinster oppnådd eller er det behov for ytterligere tiltak? I så fall er det utarbeidet en tiltaksplan?,"Have expected benefits been achieved, or is there a need for additional measures? If so, has an action plan been developed?",,,,,
